num_principal_components,classifier,best_grid,true_class,predicted_class,accuracy,f1
1,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 0 0 ... 1 0 0],[1 0 0 ... 0 0 1],0.6551515151515152,0.4933214603739982
1,kNN,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 0 0 ... 1 0 0],[1 0 0 ... 1 1 0],0.6975757575757576,0.6306439674315322
1,LR,{'solver': 'newton-cg'},[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 0],0.5757575757575758,0.0
1,RF,"{'criterion': 'gini', 'max_depth': 90, 'max_features': 'sqrt', 'n_estimators': 10}",[0 0 0 ... 1 0 0],[1 0 0 ... 0 1 1],0.6412121212121212,0.5494672754946728
2,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 0 0 ... 1 0 0],[0 0 0 ... 1 0 1],0.7272727272727273,0.6848739495798318
2,kNN,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 1],0.7157575757575757,0.6717984604618615
2,LR,{'solver': 'newton-cg'},[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 0],0.5842424242424242,0.07795698924731181
2,RF,"{'criterion': 'gini', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 10}",[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 1],0.6921212121212121,0.615733736762481
3,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 0 0 ... 1 0 0],[0 0 0 ... 1 1 1],0.7630303030303031,0.7256140350877194
3,kNN,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 0 0 ... 1 0 0],[0 0 0 ... 1 1 1],0.7363636363636363,0.6981263011797363
3,LR,{'solver': 'newton-cg'},[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 0],0.5854545454545454,0.08310991957104558
3,RF,"{'criterion': 'gini', 'max_depth': 80, 'max_features': 'log2', 'n_estimators': 200}",[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 1],0.7460606060606061,0.6952727272727273
4,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 0 0 ... 1 0 0],[0 0 0 ... 1 1 1],0.7678787878787878,0.723065798987708
4,kNN,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 1],0.7448484848484849,0.7007818052594172
4,LR,{'solver': 'newton-cg'},[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 0],0.5848484848484848,0.08299866131191432
4,RF,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'auto', 'n_estimators': 200}",[0 0 0 ... 1 0 0],[0 0 0 ... 0 0 1],0.7375757575757576,0.6837107377647919
