num_principal_components,classifier,best_grid,true_class,predicted_class,accuracy,f1
1,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 1 0 ... 0 1 1],[0 1 0 ... 1 1 1],0.7011515151515152,0.6624914442162902
1,kNN,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 1 0 ... 0 1 1],[0 1 0 ... 1 1 1],0.6845757575757576,0.6400387315419995
1,LR,{'solver': 'newton-cg'},[0 1 0 ... 0 1 1],[0 0 0 ... 0 0 0],0.5880909090909091,0.09842806924454467
1,RF,"{'criterion': 'gini', 'max_depth': 110, 'max_features': 'sqrt', 'n_estimators': 200}",[0 1 0 ... 0 1 1],[0 0 0 ... 1 0 1],0.6457272727272727,0.5751044884608395
2,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 1 0 ... 0 1 1],[0 1 0 ... 1 1 1],0.7212424242424242,0.6642087972257712
2,kNN,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 1 0 ... 0 1 1],[0 1 0 ... 0 1 1],0.7336969696969697,0.6854238258877433
2,LR,{'solver': 'sag'},[0 1 0 ... 0 1 1],[0 0 0 ... 0 0 0],0.5886969696969697,0.10249289162203266
2,RF,"{'criterion': 'entropy', 'max_depth': 110, 'max_features': 'sqrt', 'n_estimators': 200}",[0 1 0 ... 0 1 1],[0 1 1 ... 0 0 1],0.7144848484848485,0.659412955465587
3,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 1 0 ... 0 1 1],[0 1 0 ... 0 1 1],0.7495454545454545,0.7072989340227361
3,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 1 0 ... 0 1 1],[0 1 0 ... 0 0 1],0.7553636363636363,0.7140782716486631
3,LR,{'solver': 'saga'},[0 1 0 ... 0 1 1],[0 0 0 ... 0 0 0],0.5883030303030303,0.09966865473823724
3,RF,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 200}",[0 1 0 ... 0 1 1],[0 1 1 ... 0 1 1],0.7323333333333333,0.6823918593362338
4,SVC,"{'C': 1000, 'kernel': 'rbf'}",[0 1 0 ... 0 1 1],[0 1 0 ... 0 1 0],0.7570606060606061,0.7216802638430828
4,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",[0 1 0 ... 0 1 1],[0 1 0 ... 0 0 1],0.7591515151515151,0.7191320941409288
4,LR,{'solver': 'sag'},[0 1 0 ... 0 1 1],[0 0 0 ... 0 0 0],0.5891212121212122,0.10495742293220675
4,RF,"{'criterion': 'entropy', 'max_depth': 110, 'max_features': 'sqrt', 'n_estimators': 100}",[0 1 0 ... 0 1 1],[0 1 1 ... 0 1 1],0.7304545454545455,0.6822419890686958
