num_principal_components,classifier,best_grid,accuracy,f1,tn_fp_fn_tp
1,SVC,"{'C': 1, 'kernel': 'rbf'}",0.766969696969697,0.7451110374544249,[1407  401  368 1124]
1,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.7545454545454545,0.7206896551724138,[1445  363  447 1045]
1,LR,{'solver': 'newton-cg'},0.5478787878787879,0.0,[1808    0 1492    0]
1,RF,"{'criterion': 'gini', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 100}",0.7521212121212121,0.7196710075394106,[1432  376  442 1050]
2,SVC,"{'C': 1, 'kernel': 'rbf'}",0.766969696969697,0.7451110374544249,[1407  401  368 1124]
2,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.7545454545454545,0.7206896551724138,[1445  363  447 1045]
2,LR,{'solver': 'newton-cg'},0.5478787878787879,0.0,[1808    0 1492    0]
2,RF,"{'criterion': 'gini', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 10}",0.75,0.7142362313820575,[1444  364  461 1031]
3,SVC,"{'C': 1, 'kernel': 'rbf'}",0.766969696969697,0.7451110374544249,[1407  401  368 1124]
3,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.7545454545454545,0.7206896551724138,[1445  363  447 1045]
3,LR,{'solver': 'newton-cg'},0.5478787878787879,0.0,[1808    0 1492    0]
3,RF,"{'criterion': 'gini', 'max_depth': 110, 'max_features': 'auto', 'n_estimators': 10}",0.7496969696969698,0.7169294037011652,[1428  380  446 1046]
4,SVC,"{'C': 1, 'kernel': 'rbf'}",0.766969696969697,0.7451110374544249,[1407  401  368 1124]
4,kNN,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.7545454545454545,0.7206896551724138,[1445  363  447 1045]
4,LR,{'solver': 'newton-cg'},0.5478787878787879,0.0,[1808    0 1492    0]
4,RF,"{'criterion': 'entropy', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 10}",0.746969696969697,0.7200804559168622,[1391  417  418 1074]
